video_id,video_name,topic_keywords
s6rHwlXqZYQ,Cristale x Teezandos - Plugged In w/ Fumez The Engineer | @MixtapeMadness,"thumbnail,bruh,bro,compliment,hell,head,teezandos,crazy,mind,erotic,engineer,photograph,need,knew,female,brilliant,fuck,nuts,cold,maxwell,drill,stupid,read,good,trusttttttttttt,flow,lad,cristale,performance,plugged,name,mixtapemadness,bloody,skin,mad,energy,favourite,warrior,craziest,main,hard,glad,fumez,reply,mixtape madness,spitting,combo,pigeon"
3gLknYPi7-U,NLE Choppa - Shake It feat. @RussMillions (Official Video),"attention,second,day,absolute,impactante,bro,unstoppable,hope,choppa,crazy,viral,style,video,russmillions,chemistry,pure,qujxxj,official,collab,respect,snippet,chloeee,ethic,skill,home,montage,class,way,shake,work,game,nle choppa,mate,fan,drill,dance,musical,good,song,strong,flow,back,entire,man,none,performance,album,fkin,nle,repeat,grind,music,mad,true,feat,many,dissapoint,humour,playlist,legend,track,glad,fire,main,hard,reply,love,slk,banger,uk,different,disappoint,beat,shotta,russ"
KljvA0Arzx8,YoungBoy Never Broke Again - Big Truck [Official Music Video],"feeling,success,black,bro,broke,special,world,unmatched,top,crazy,example,video,set,accomplished,loyalty,ser,power,official,youngboy never broke again,talent,greatness,ethic,youngboy,consistency,inspiring,work,guy,wack,game,pqp,fan,swillz,death,good,song,flow,release,measure,man,industry,album,generation,legacy,undeniable,ability,never,level,search,thing,ano,reach,music,true,energy,truck,miss,big,worth,grandma,main,hard,different,conquer,reply,love,proud,banger,shit,fire,disappoint,beat,money,goat,point,unnoticed,real"
dMoFcvfd5t4,The Weeknd ft. Future - Double Fantasy (Official Music Video),"por,mejor,ty,double,errar,dupla,master,list,ft,effort,top,ele,one,sleeve,video,merece,fantasy,official,nunca,https,cara,smp,drop,weeknd,bom,actor,bad,falla,combinacao,adorou,guy,coisa,play,qualidade,fan,mundo,song,bendicion,man,beh,pra,pos,theweekndvevo,arrasou,school,este,music,aqui,erra,decepciona,qualquer,horrendous,artist,main,perfecta,reply,nivel,show,banger,excited,impossivel,point,surreal,future,real,manana"
mKEphyIbtXo,Ed Sheeran - Boat [Official Video],"deep,piece,por,persistent,typical,current,nagrade,survivor,powerful,boat,consume,amazing,instant,heal,increible,time,melody,life,композиции,torrent,thank,artist,fighter,sea,feeling,master,untouchable,video,rađa,feel,любовь,story,man,cancer,rhythm,music,afraid,able,main,перестает,fois,que,structure,beautiful,heart,share,hope,fun,guitar,listening,inspiration,душа,sheeran,ed,evoke,way,first,grateful,grief,reply,love,visual,svijeta,ovog,soul,ok,magic,cancion,dar,за,official,успокаивается,song,side,усталость,single,thing,conform,ed sheeran,type,storyteller,think"
JdjH8uVSrkI,DEEBLOCK PUBLIC SLAMBALL TOURNAMENT!,"lil,crazy,dunk,next,dope,duke dennis,fashooo,windmill,everytime,play,finger,time,basketball,mad,year,life,big,great,shit,manz,injury,air,hand,gang,open,video,highlight,stick,slamball,good,superman,man,lie,see,right,main,duke,people,deeblock,pride,real,hittin,grabbin,bro,whole,new,package,need,rim,tournament,game,work,youtube,dude,maturity,block,public,damn,city,disrespectful,different,reply,love,proud,pro,black,talk,official,event,fact,hurt,hella,magnet,ass,grind,composure,headtop,type,fit,banger,nice"
K_l3k7c5-Uo,"Every Time You Score, the Keeper Gets Upgraded","content,bartosz,buildup,ear,cal,floor,month,seeker,time,goal,many,small,freezy,corner,shot,rolling,glad,great,score,excellent,attention,channel,insane,much,video,tobi,general,białkowski,gold,stunning,notch,football,class,fraud,criminal,prem,see,short,quality,vid,upgraded,main,keeper,wholesome,absolute,bruh,effort,every,game,work,fan,youtube,hilarious,incredible,pleasure,different,hear,reply,love,funny,gets,scheduling,top,pure,banter,usual,fact,chrismd,level,thing,true,energy,act,fu,banger,ik,shame,nice,express,part,calfreezy"
8TlrXc3TYgs,I bought every MacBook Ever.,"content,series,day,channel,air,iphone,long,watch,whole,insane,challenge,world,effort,video,much,serious,every,production,high,info,perfection,decision,mac,price,arun,powerful,passion,mrwhosetheboss,fact,bad,wayyy,amazing,way,dedication,first,work,guy,want,intresting,interesting,tech,deal,fan,worry,envelope,techie,good,ok,apple,story,man,generation,dude,time,quality,reposition,job,thank,macbook,book,main,great,account,love,reply,excited,disappoint,item,bought,spec,bank,ever"
Z4c7_QVcKJQ,SIDEMEN EXTREME HOT VS COLD CAMPING,"dad,moaning,toilet,extreme,sure,snow,glacier,milk,arc,time,episode,year,many,small,exact,life,vs,great,star,moment,hand,jump,awesome,video,cozy,fake,coolest,driving,cold,guy,duo,sidemen,story,climax,experience,porch,grand,pun,trip,main,multiple,thermal,people,well,surprised,vik,real,shocked,wholesome,whole,fun,favorite,way,hot,first,hilarious,tour,hotel,arctic,happy,tent,inexperience,hard,reply,love,camping,ice,gear,self,long,fist,special,top,jj,environment,iceland,fact,team,genuine,catch,scared,thing,bird,pound,radio,blast,nice,part,anton"
1qhaxUh6OKk,SIDEMEN MUSIC BATTLE,"watch,golf,arse,expensive,harddd,quiet,clip,angry,soo,uwuffu,time,choice,favourite,many,painful,thank,glad,great,singing,moment,lot,list,ohhh,world,much,video,stan,eg,kryptonite,final,food,rest,tbh,force,sidemen,curious,man,music,era,main,multiple,heart,vik,wholesome,fun,head,cup,need,sick,shocking,battle,way,work,couple,chill,funny,full,different,love,reply,fax,face,series,taste,one,obvious,song,moresidemen,bracket,petition,movie,ultimate,banger,tv,passionate,shiiiit,nice,part,tier"
