video_id,video_name,comment_id,comment,username,class
C3vGGDT8Wn4,This Down Syndrome Bodybuilder Will Inspire You!,UgwrrhBTfnr2Kocluep4AaABAg,"Note that downsyndrome people have a harder time with muscle control and coordination, this guy is amazing and a great inspiration to all, even the less fortunate.",Grom's WoW Guide,ham
aaxWvZnZEFc,Bohemian Rhapsody - Queen (Piano cover by Emily Linge),UgyEmVa0CS1l7WBfXc54AaABAg,Such talent in one so young. May you always bring a smile to all of your fans.,Brian Dutcher,ham
eZy5HlgPxJw,Pro Arm Wrestler challenges people in public,Ugx-OrCjx3kx97ie_cJ4AaABAg,"Your content has been fantastic lately, Magnus. Very entertaining as well as informative.",Maurice Fricke,ham
eZy5HlgPxJw,Pro Arm Wrestler challenges people in public,UgyrzDCVklJqTQU3KdN4AaABAg,"Ever since I saw you and Juji doing arm wrestling I've felt you would be really good at it with some practice. The tendons and strength is already there for you, you just need technique and table practice.",Ryan Showalter,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,UgxfLByqYaom8UO4Wut4AaABAg.9ok1cxGHgQJ9omggjBrnBD,"​@LifeIsShørt bro trying to stereotype Ubisoft being a crap company, when literally there are far worse ones. But I also love the fact the community is also to blame because they ask for so much, but remain non specific what they really want. So instead they blame ubisoft for everything.",Voth Betilia,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,Ugz1Bkoyt5HjtxlLCuV4AaABAg,This game looks so fun. I hope the devs can pull it off and bring this game all the way to the finish line,Mateo K,ham
QfRMUWtIFFo,The CALL OF DUTY KILLER keeps getting better with each passing day,Ugwvu7H6eIoOCtCznY14AaABAg,I can't explain how excited I am to play this game,Nathaniel DeVinney,ham
1BZ0Zb8PE68,Arsenal rescue late point in SIX-GOAL THRILLER! 🤯 | Arsenal 3-3 Southampton | EPL highlights,UgyXM9UDDtHgLIUA3-54AaABAg.9omZshYPv869onyE4i6Dtp,Amen,náisiún na hÉireann,ham
STrWTV60Pho,Niall Horan - Ceilings (Lizzy McAlpine cover) in the Live Lounge,Ugy3gM_WyDjBIq6aaRt4AaABAg.9ogrYIjr9bu9ol5WD0cGm6,SIGNED!!💚🤍🧡,OneDirectionEdits🆔️ˣ‿ˣ #HeavenNH3,ham
EuPIOF0LG70,The Cookie Clicker Experience,UgyaXIN-fONIXO4l-vl4AaABAg.9oZmlGVvdht9odshUDe82Q,The jame's Nond. Bames Nond.,Revengist,ham
aW7bzd8uwyQ,Jack Black - Peaches (Directed by Cole Bennett)  The Super Mario Bros. Movie,Ugz90yrJczODBwPkT0p4AaABAg,"What a masterpiece with so much meaning, truly inspiring to me personally, helped me get through a tough day",SupraXIII,ham
#NAME?,The Titanfall 2 Achievements were REALLY CRAZY,UgzFnV8dpomHIlfqZsx4AaABAg,i hope respawn sees all this titanfall 2 content coming out and resume making titanfall legends,anderson mccann,ham
GqcR8t9DyEc,Best tiktok songs 2023 🍦 Trending tiktok 2023 ~ Tiktok viral songs,UgzNfQ2hCQkmLeHrVqF4AaABAg.9nrjPo0pf8Q9nsgezw1HzO,Thank you. You too. Please have a beautiful day,Personal,ham
tfAo4dNFWg8,SIDEMEN AMONG US BUT THE IMPOSTER IS SUPER SIZED,UgzY1s_JSvHxkcEiPVp4AaABAg,i'll never get tired of sidemen and friends playing among us,Solveig G,ham
aaxWvZnZEFc,Bohemian Rhapsody - Queen (Piano cover by Emily Linge),Ugw9ovesjx5HHJvxTdN4AaABAg,"Another great performance by you that has me shaking my head in disbelief! Your vocal range, piano arrangement and amazing dress takes this video way over the top! 💖💖🎹🎹👏👏.",Douglas Meeker,ham
C3vGGDT8Wn4,This Down Syndrome Bodybuilder Will Inspire You!,Ugz8jt--Pqg3qBxIH2t4AaABAg.9ndDNEPsfRi9ndQEdJqBXG,Yo wassup tristyn,Nitrix,ham
